"","Dependent..TAPND_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...94..Missing...170..Log.likelihood...69.6..AIC....71.2..R.squared...0.67..Adjusted.R.squared...0.5....row.names...c.NA.."
"16","NI","[51.4,49420.0]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.072)","0.00 (-0.00 to 0.00, p=0.582)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"15","NE","[86.9,16685.5]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.824)","0.00 (-0.00 to 0.00, p=0.180)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"9","IMS_BS","[0.0,87.1]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.159)","0.00 (-0.01 to 0.01, p=0.821)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"19","PD","[2.2,1079.1]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.987)","0.00 (-0.00 to 0.00, p=0.769)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"6","GDPPC","[164.1,69701.1]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.972)","-0.00 (-0.00 to 0.00, p=0.529)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"7","HDI","[0.2,0.9]","Mean (sd)","0.1 (0.3)","-0.02 (-0.25 to 0.21, p=0.867)","-0.22 (-1.87 to 1.43, p=0.788)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"31","WS","[0.2,1847.2]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.526)","0.00 (0.00 to 0.01, p=0.006)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"32","WUE","[0.2,319.7]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.249)","-0.01 (-0.02 to 0.00, p=0.215)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"18","PCAEI","[0.1,137.5]","Mean (sd)","0.1 (0.3)","0.00 (0.00 to 0.00, p=0.049)","0.00 (-0.00 to 0.01, p=0.147)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"17","NRI","[52.0,3234.8]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.640)","0.00 (0.00 to 0.00, p=0.013)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"27","TPASDW","[21.3,100.0]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.695)","-0.03 (-0.05 to -0.01, p<0.001)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"21","RPASDW","[8.8,100.0]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.936)","0.00 (0.00 to 0.01, p=0.041)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"30","UPASDW","[43.0,100.0]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.01, p=0.346)","0.04 (0.01 to 0.07, p=0.004)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"24","TAC","[0.6,1709.8]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.227)","-0.00 (-0.00 to 0.00, p=0.251)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"3","CA","[0.1,186.2]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.927)","0.00 (-0.00 to 0.01, p=0.459)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"26","TP","[2.1,1452.6]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.351)","-0.00 (-0.00 to 0.00, p=0.770)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"5","GDP","[1.7,19519.4]","Mean (sd)","0.1 (0.3)","0.00 (0.00 to 0.00, p=0.025)","0.00 (-0.00 to 0.00, p=0.246)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"28","TRWR","[0.1,4525.4]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.303)","0.00 (-0.00 to 0.00, p=0.471)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"4","EFR","[0.0,2953.0]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.160)","-0.00 (-0.00 to 0.00, p=0.389)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"25","TFW","[0.2,715.8]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.865)","-0.00 (-0.00 to -0.00, p=0.029)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"1","AEI","[0.0,70.4]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.608)","0.01 (-0.01 to 0.04, p=0.288)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"2","AWWTWW","[0.4,98.9]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.935)","0.07 (0.00 to 0.13, p=0.043)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"11","IWWTWW","[0.2,83.5]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.315)","0.08 (0.01 to 0.14, p=0.030)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"14","MWWTWW","[0.9,74.0]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.079)","0.07 (0.00 to 0.14, p=0.042)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"8","IAWUE","[0.0,6.3]","Mean (sd)","0.1 (0.3)","-0.04 (-0.08 to 0.01, p=0.131)","-0.11 (-0.35 to 0.12, p=0.340)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"10","IWUE","[1.8,2476.3]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.155)","0.00 (-0.00 to 0.00, p=0.318)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"23","SWUE","[2.8,515.7]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.280)","0.00 (-0.00 to 0.00, p=0.584)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"13","LR","[31.4,100.0]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.229)","0.00 (-0.00 to 0.01, p=0.088)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"20","PSE","[25.8,147.3]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.138)","0.00 (-0.00 to 0.01, p=0.498)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"22","SSE","[5.7,157.2]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.578)","0.00 (-0.00 to 0.01, p=0.663)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"29","TSE","[0.4,92.1]","Mean (sd)","0.1 (0.3)","0.00 (-0.00 to 0.00, p=0.335)","0.01 (0.00 to 0.01, p=0.036)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
"12","LEB","[29.0,82.6]","Mean (sd)","0.1 (0.3)","-0.00 (-0.00 to 0.00, p=0.878)","-0.01 (-0.02 to 0.00, p=0.121)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = 69.6, AIC = -71.2, R-squared = 0.67, Adjusted R-squared = 0.5"
