"","Dependent..WUE_missing","X.","unit","value","Coefficient..univariable.","Coefficient..multivariable.","structure.list..Number.in.dataframe...264..Number.in.model...94..Missing...170..Log.likelihood...Inf..AIC....Inf..R.squared...NaN..Adjusted.R.squared...NaN....row.names...c.NA.."
"16","NI","[51.4,49420.0]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.284)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"15","NE","[86.9,16685.5]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.175)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"9","IMS_BS","[0.0,87.1]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to 0.00, p=0.069)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"19","PD","[2.2,1079.1]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.226)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"6","GDPPC","[164.1,69701.1]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to -0.00, p=0.015)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"7","HDI","[0.2,0.9]","Mean (sd)","0.2 (0.4)","-0.28 (-0.60 to 0.05, p=0.092)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"32","WS","[0.2,1847.2]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.056)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"18","PCAEI","[0.1,137.5]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to -0.00, p=0.001)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"17","NRI","[52.0,3234.8]","Mean (sd)","0.2 (0.4)","0.00 (0.00 to 0.00, p=0.022)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"28","TPASDW","[21.3,100.0]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.960)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"25","TAPND","[0.0,9359.5]","Mean (sd)","0.2 (0.4)","0.00 (0.00 to 0.00, p=0.001)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"21","RPASDW","[8.8,100.0]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.998)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"31","UPASDW","[43.0,100.0]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.01, p=0.468)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"24","TAC","[0.6,1709.8]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.780)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"3","CA","[0.1,186.2]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.264)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"27","TP","[2.1,1452.6]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.068)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"5","GDP","[1.7,19519.4]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.060)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"29","TRWR","[0.1,4525.4]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.845)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"4","EFR","[0.0,2953.0]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.987)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"26","TFW","[0.2,715.8]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.200)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"1","AEI","[0.0,70.4]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to -0.00, p=0.028)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"2","AWWTWW","[0.4,98.9]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to -0.00, p<0.001)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"11","IWWTWW","[0.2,83.5]","Mean (sd)","0.2 (0.4)","0.00 (0.00 to 0.01, p<0.001)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"14","MWWTWW","[0.9,74.0]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.00, p=0.332)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"8","IAWUE","[0.0,6.3]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to 0.01, p=0.677)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"10","IWUE","[1.8,2476.3]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to -0.00, p=0.048)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"23","SWUE","[2.8,515.7]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.419)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"13","LR","[31.4,100.0]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.731)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"20","PSE","[25.8,147.3]","Mean (sd)","0.2 (0.4)","0.00 (-0.00 to 0.01, p=0.328)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"22","SSE","[5.7,157.2]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.233)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"30","TSE","[0.4,92.1]","Mean (sd)","0.2 (0.4)","-0.00 (-0.00 to 0.00, p=0.935)","-0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
"12","LEB","[29.0,82.6]","Mean (sd)","0.2 (0.4)","-0.00 (-0.01 to 0.00, p=0.476)","0.00 (0.00 to 0.00, p=NaN)","Number in dataframe = 264, Number in model = 94, Missing = 170, Log-likelihood = Inf, AIC = -Inf, R-squared = NaN, Adjusted R-squared = NaN"
